Group,Model,Accuracy
Group 19,BP_GNB,0.8888888888888888
Group 19,BP_MNB,0.6944444444444444
Group 19,BP_ENSEMBLE,0.8333333333333334
Group 19,Glucose_KNN,0.5
Group 19,Glucose_RF,0.5277777777777778
Group 19,Glucose_GB,0.5555555555555556
Group 19,Glucose_AB,0.5277777777777778
Group 19,Glucose_GNB,0.5833333333333334
Group 19,Glucose_MNB,0.5
Group 19,Glucose_ENSEMBLE,0.5
Group 20,BP_KNN,0.8
Group 20,BP_GB,0.7888888888888889
Group 20,BP_AB,0.5888888888888889
Group 20,BP_RF,0.7777777777777778
Group 20,BP_GNB,0.8111111111111111
Group 20,BP_MNB,0.5888888888888889
Group 20,BP_ENSEMBLE,0.7888888888888889
Group 20,Glucose_KNN,0.5444444444444444
Group 20,Glucose_RF,0.5777777777777777
Group 20,Glucose_GB,0.5555555555555556
Group 20,Glucose_AB,0.32222222222222224
Group 20,Glucose_GNB,0.5666666666666667
Group 20,Glucose_MNB,0.13333333333333333
Group 20,Glucose_ENSEMBLE,0.5666666666666667
Group 21,BP_KNN,0.9722222222222222
Group 21,BP_GB,1.0
Group 21,BP_AB,1.0
Group 21,BP_RF,1.0
Group 21,BP_GNB,0.9444444444444444
Group 21,BP_MNB,0.7777777777777778
Group 21,BP_ENSEMBLE,1.0
Group 21,Glucose_KNN,0.9722222222222222
Group 21,Glucose_RF,0.9166666666666666
Group 21,Glucose_GB,0.9166666666666666
Group 21,Glucose_AB,0.9166666666666666
Group 21,Glucose_GNB,0.9722222222222222
Group 21,Glucose_MNB,0.5
Group 21,Glucose_ENSEMBLE,0.9166666666666666
Group 22,BP_KNN,0.5555555555555556
Group 22,BP_GB,0.6111111111111112
Group 22,BP_AB,0.5888888888888889
Group 22,BP_RF,0.5555555555555556
Group 22,BP_GNB,0.6
Group 22,BP_MNB,0.4444444444444444
Group 22,BP_ENSEMBLE,0.5777777777777777
Group 22,Glucose_KNN,0.3
Group 22,Glucose_RF,0.2777777777777778
Group 22,Glucose_GB,0.3
Group 22,Glucose_AB,0.4
Group 22,Glucose_GNB,0.3
Group 22,Glucose_MNB,0.13333333333333333
Group 22,Glucose_ENSEMBLE,0.32222222222222224
Group 23,BP_KNN,0.9722222222222222
Group 23,BP_GB,0.9722222222222222
Group 23,BP_AB,0.8611111111111112
Group 23,BP_RF,1.0
Group 23,BP_GNB,1.0
Group 23,BP_MNB,0.7222222222222222
Group 23,BP_ENSEMBLE,1.0
Group 23,Glucose_KNN,0.4444444444444444
Group 23,Glucose_RF,0.5277777777777778
Group 23,Glucose_GB,0.5277777777777778
Group 23,Glucose_AB,0.5277777777777778
Group 23,Glucose_GNB,0.4166666666666667
Group 23,Glucose_MNB,0.5
Group 23,Glucose_ENSEMBLE,0.4722222222222222
